stratum,n_events,se_ln,min_detectable_RR_80pct,note
RCT suicidal-behaviour,71,0.234,1.92,"Underpowered; CI width driven by event scarcity, not by evidence of no effect."
Obs: suicidal ideation,(events not reported; effect-size only),0.318,2.44,From pooled SE; smaller SE = narrower detectable effect.
Obs: suicidality (composite),(events not reported; effect-size only),0.074,1.23,From pooled SE; smaller SE = narrower detectable effect.
Obs: suicide attempt/self-harm,(events not reported; effect-size only),0.099,1.32,From pooled SE; smaller SE = narrower detectable effect.
Obs: completed suicide,(events not reported; effect-size only),0.209,1.79,From pooled SE; smaller SE = narrower detectable effect.
Obs: depression,(events not reported; effect-size only),0.332,2.53,From pooled SE; smaller SE = narrower detectable effect.
Obs: anxiety,(events not reported; effect-size only),0.244,1.98,From pooled SE; smaller SE = narrower detectable effect.
