nct,title,drugs,kind,term,organ,group,arm,affected,atRisk
NCT02284009,Albiglutide Versus Placebo in Insulin-treated Subjects With New-onset Type 1 Dia,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Albiglutide,GLP1,0,50
NCT02465515,"Effect of Albiglutide, When Added to Standard Blood Glucose Lowering Therapies, ",albiglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Albiglutide,GLP1,1,4717
NCT02465515,"Effect of Albiglutide, When Added to Standard Blood Glucose Lowering Therapies, ",albiglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Placebo,comparator,2,4715
NCT02465515,"Effect of Albiglutide, When Added to Standard Blood Glucose Lowering Therapies, ",albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Albiglutide,GLP1,1,4717
NCT02465515,"Effect of Albiglutide, When Added to Standard Blood Glucose Lowering Therapies, ",albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Placebo,comparator,1,4715
NCT02465515,"Effect of Albiglutide, When Added to Standard Blood Glucose Lowering Therapies, ",albiglutide,seriousEvents,Completed suicide,Psychiatric disorders,Albiglutide,GLP1,1,4717
NCT02465515,"Effect of Albiglutide, When Added to Standard Blood Glucose Lowering Therapies, ",albiglutide,seriousEvents,Completed suicide,Psychiatric disorders,Placebo,comparator,0,4715
NCT00838903,Efficacy and Safety of Albiglutide in Treatment of Type 2 Diabetes,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Placebo Plus Metformin,comparator,0,101
NCT00838903,Efficacy and Safety of Albiglutide in Treatment of Type 2 Diabetes,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Sitagliptin 100 mg Plus Metformin,comparator,0,302
NCT00838903,Efficacy and Safety of Albiglutide in Treatment of Type 2 Diabetes,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Glimepiride 2 mg Plus Metformin,comparator,0,307
NCT00838903,Efficacy and Safety of Albiglutide in Treatment of Type 2 Diabetes,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Albiglutide 30 mg Plus Metformin,GLP1,1,302
NCT00839527,A Study to Determine the Safety and Efficacy of Albiglutide in Subjects With Typ,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Placebo + Metformin + Glimepiride,comparator,0,115
NCT00839527,A Study to Determine the Safety and Efficacy of Albiglutide in Subjects With Typ,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Pioglitazone + Metformin + Glimepiride,comparator,1,277
NCT00839527,A Study to Determine the Safety and Efficacy of Albiglutide in Subjects With Typ,albiglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Albiglutide + Metformin + Glimepiride,GLP1,0,271
