stratum,risk_per_10k,basis
RCT exposed (observed),8.33,35/41993 direct
RCT control (observed),9.19,36/39161 direct
RCT ARD (exp-ctrl),-0.86,"95% CI -4.94 to 3.22 per 10,000; crosses 0"
Obs suicidal ideation: implied risk if baseline=9.2/10k,6.76,baseline x pooled 0.74; ILLUSTRATIVE — obs studies report no shared baseline
Obs suicidality (composite): implied risk if baseline=9.2/10k,8.68,baseline x pooled 0.94; ILLUSTRATIVE — obs studies report no shared baseline
Obs suicide attempt/self-harm: implied risk if baseline=9.2/10k,6.5,baseline x pooled 0.71; ILLUSTRATIVE — obs studies report no shared baseline
Obs completed suicide: implied risk if baseline=9.2/10k,11.49,baseline x pooled 1.25; ILLUSTRATIVE — obs studies report no shared baseline
Obs depression: implied risk if baseline=9.2/10k,14.07,baseline x pooled 1.53; ILLUSTRATIVE — obs studies report no shared baseline
Obs anxiety: implied risk if baseline=9.2/10k,4.94,baseline x pooled 0.54; ILLUSTRATIVE — obs studies report no shared baseline
